,State,No. Purch
0,AP,376
1,AA,351
2,AE,331
3,IN,183
4,VI,178
5,MS,173
6,MA,172
7,PW,170
8,NH,166
9,NC,165
10,IL,164
11,WA,163
12,MD,162
13,KS,162
14,RI,161
15,KY,160
16,WI,160
17,MI,160
18,OK,159
19,GA,159
20,CT,159
21,WV,157
22,AK,157
23,DE,156
24,ME,155
25,VA,154
26,MH,153
27,NJ,153
28,LA,153
29,ID,152
30,GU,151
31,HI,151
32,UT,151
33,WY,150
34,FM,149
35,OH,149
36,MO,149
37,AL,148
38,SD,148
39,NV,147
40,AR,147
41,MP,147
42,ND,146
43,MN,146
44,CA,146
45,TX,146
46,AZ,145
47,NY,145
48,NE,144
49,IA,143
50,DC,143
51,AS,141
52,PR,140
53,FL,140
54,MT,139
55,PA,137
56,OR,136
57,CO,133
58,SC,131
59,VT,131
60,NM,130
61,TN,127
